,location,date,total_cases,new_cases,total_deaths,new_deaths
15139,United States,2020-05-08,1256972,28369,75670,2239
2199,Brazil,2020-05-08,135106,9888,9146,610
5471,United Kingdom,2020-05-08,206715,5514,30615,539
7729,Italy,2020-05-08,215858,1401,29958,274
9914,Mexico,2020-05-08,29616,1982,2961,257
4704,Spain,2020-05-08,221447,1122,26070,213
5235,France,2020-05-08,137779,629,25987,178
2588,Canada,2020-05-08,64922,1426,4408,176
3789,Germany,2020-05-08,167300,1209,7266,147
6953,India,2020-05-08,56342,3390,1886,103
13956,Sweden,2020-05-08,24623,705,3040,99
11906,Peru,2020-05-08,58526,3709,1627,94
12871,Russia,2020-05-08,177160,11231,1625,88
11149,Netherlands,2020-05-08,41774,455,5288,84
1283,Belgium,2020-05-08,51420,639,8415,76
7211,Iran,2020-05-08,103135,1485,6486,68
14668,Turkey,2020-05-08,133721,1977,3641,57
4388,Ecuador,2020-05-08,30298,878,1654,36
6775,Indonesia,2020-05-08,12776,338,930,35
11780,Pakistan,2020-05-08,25837,1764,594,30
7081,Ireland,2020-05-08,22385,137,1403,28
12032,Philippines,2020-05-08,10343,339,685,27
12148,Poland,2020-05-08,15047,307,755,22
12741,Romania,2020-05-08,14499,392,876,18
12259,Portugal,2020-05-08,26715,533,1105,16
14954,Ukraine,2020-05-08,13691,507,340,13
4514,Egypt,2020-05-08,7981,393,482,13
2718,Switzerland,2020-05-08,30043,66,1517,13
1495,Bangladesh,2020-05-08,12425,706,199,13
4138,Dominican Republic,2020-05-08,9095,288,373,11
2069,Bolivia,2020-05-08,2081,195,102,11
12990,Saudi Arabia,2020-05-08,33731,1793,219,10
14252,Chad,2020-05-08,253,83,27,10
3202,Colombia,2020-05-08,9456,497,407,10
6652,Hungary,2020-05-08,3178,28,392,9
561,Argentina,2020-05-08,5358,163,282,9
4017,Denmark,2020-05-08,10083,100,514,8
3659,Czech Republic,2020-05-08,8031,57,270,8
498,United Arab Emirates,2020-05-08,16240,502,165,8
15669,South Africa,2020-05-08,8232,424,161,8
11841,Panama,2020-05-08,7868,137,225,7
4263,Algeria,2020-05-08,5182,185,483,7
6406,Honduras,2020-05-08,1685,224,105,6
8023,Japan,2020-05-08,15547,84,557,6
13515,Somalia,2020-05-08,928,55,44,5
1916,Belarus,2020-05-08,20168,913,116,4
14446,Tajikistan,2020-05-08,461,82,12,4
2783,Chile,2020-05-08,24581,1533,285,4
3375,Cuba,2020-05-08,1729,26,73,4
10849,Niger,2020-05-08,781,11,42,4
10968,Nigeria,2020-05-08,3526,381,107,4
1793,Bosnia and Herzegovina,2020-05-08,2027,40,90,4
13587,Serbia,2020-05-08,9848,57,206,3
5020,Finland,2020-05-08,5673,100,255,3
13046,Sudan,2020-05-08,930,78,52,3
14850,Tanzania,2020-05-08,509,29,21,3
8137,Kenya,2020-05-08,607,25,29,3
12190,Puerto Rico,2020-05-08,2031,63,102,3
13282,Sierra Leone,2020-05-08,231,6,16,2
8610,Kuwait,2020-05-08,6567,278,44,2
166,Afghanistan,2020-05-08,3563,171,106,2
9360,Luxembourg,2020-05-08,3859,8,100,2
2969,Cote d'Ivoire,2020-05-08,1571,55,20,2
9675,Moldova,2020-05-08,4605,129,145,2
682,Armenia,2020-05-08,2884,102,42,2
6240,Guatemala,2020-05-08,832,34,23,2
10035,Macedonia,2020-05-08,1572,33,89,1
6088,Greece,2020-05-08,2678,15,148,1
12613,Kosovo,2020-05-08,861,1,27,1
7599,Israel,2020-05-08,16381,71,240,1
9784,Maldives,2020-05-08,642,25,3,1
6536,Croatia,2020-05-08,2125,6,86,1
9430,Latvia,2020-05-08,909,9,18,1
11655,Oman,2020-05-08,2958,55,14,1
8080,Kazakhstan,2020-05-08,4690,188,31,1
9237,Lithuania,2020-05-08,1433,5,49,1
46,Aruba,2020-05-08,101,0,3,1
14612,Tunisia,2020-05-08,1026,1,44,1
15595,Yemen,2020-05-08,26,1,6,1
13114,Senegal,2020-05-08,1492,59,13,1
992,Austria,2020-05-08,15673,22,609,1
13650,Sao Tome and Principe,2020-05-08,187,13,4,1
4834,Estonia,2020-05-08,1720,7,56,1
374,Andorra,2020-05-08,752,1,47,1
13762,Slovakia,2020-05-08,1445,16,26,1
15720,Zambia,2020-05-08,153,7,4,0
10696,Malaysia,2020-05-08,6467,39,107,0
10433,Mauritania,2020-05-08,8,0,1,0
11531,New Zealand,2020-05-08,1141,2,21,0
11403,Nepal,2020-05-08,101,2,0,0
11279,Norway,2020-05-08,7995,42,209,0
15248,Vatican,2020-05-08,12,0,0,0
11019,Nicaragua,2020-05-08,16,0,5,0
15294,Saint Vincent and the Grenadines,2020-05-08,17,0,0,0
15349,Venezuela,2020-05-08,381,2,10,0
15392,British Virgin Islands,2020-05-08,7,0,1,0
10481,Montserrat,2020-05-08,11,0,1,0
15437,United States Virgin Islands,2020-05-08,66,0,4,0
